no,username,handle,created_date,tweet_text,likes
4291,"""Unknown Men""",@miteshkumar10,2024-02-22T02:52:18.000Z,𝙄𝙛... If #NarendraModi was the Prime Minister of #VikshitBharat then the Problems of #Farmers would have been Solved. #farmersprotests2024 #FarmersProtestInDelhi #FarmersProtests,85
4292,࿗ Tinda Singh (Anti Izlam),@tinda_singh,2024-02-22T02:52:18.000Z,𝙄𝙛... If #NarendraModi was the Prime Minister of #VikshitBharat then the Problems of #Farmers would have been Solved. #farmersprotests2024 #FarmersProtestInDelhi #FarmersProtests,85
4293,Live Law,@LiveLawIndia,2024-03-28T11:45:44.000Z,"Forming #policy responses to #farmersprotests and designing the new #CAP, @EU_Commission must consider new scientific evidence on the benefits of #agroecology for socioeconomic viability, #nature, #foodsecurity, and #nutrition. https://agroecology-europe.org/new-study-reveals-the-positive-socio-economic-performance-of-agroecology/…",11
4294,SUMITH SHARMA,@Sumith_Bhai,2024-02-22T14:43:58.000Z,"""As per the order of Indian government we are blocking , suspending or withheld some @X accounts, but we do not agree with this, people should have freedom of speech."" @elonmusk #FarmerLivesMatter #FarmersProtestInDelhi #farmersprotests2024 #FarmersProtests",33
4295,ਹਤਿੰਦਰ ਸਿੰਘ,@hatindersinghr1,2024-02-22T02:52:18.000Z,𝙄𝙛... If #NarendraModi was the Prime Minister of #VikshitBharat then the Problems of #Farmers would have been Solved. #farmersprotests2024 #FarmersProtestInDelhi #FarmersProtests,85
4296,BhikuMhatre (Modi's Family),@MumbaichaDon,2024-02-21T14:21:51.000Z,See What Modi Govt is Doing #FarmerProtest2024 #HaryanaPolice #FarmersProtestInDelhi #PMQs #FarmersProtests #shamemodiGovt #haryanapolitics #farmersprotests2024 #ShambhuBorder #KisanAndolan2024,50
4297,࿗ Tinda Singh (Anti Izlam),@tinda_singh,2024-02-23T01:51:24.000Z,"#FarmersProtests ""𝗧𝗼𝗼 𝗺𝘂𝗰𝗵 𝗼𝗳 𝗱𝗲𝗺𝗼𝗰𝗿𝗮𝗰𝘆"" Haryana government to impose NSA on farmers' leaders and arrest them using National Security Act - NSA act 1980 section 2 (3) #FarmerLivesMatter #FarmerProtestInDelhi",85
4298,তন্ময় l T͞anmoy l,@tanmoyofc,2024-02-22T02:52:18.000Z,𝙄𝙛... If #NarendraModi was the Prime Minister of #VikshitBharat then the Problems of #Farmers would have been Solved. #farmersprotests2024 #FarmersProtestInDelhi #FarmersProtests,85
4299,The Times Of India,@timesofindia,2024-02-22T14:43:58.000Z,"""As per the order of Indian government we are blocking , suspending or withheld some @X accounts, but we do not agree with this, people should have freedom of speech."" @elonmusk #FarmerLivesMatter #FarmersProtestInDelhi #farmersprotests2024 #FarmersProtests",33
4300,Alok,@alokdubey1408,2024-02-22T14:43:58.000Z,"""As per the order of Indian government we are blocking , suspending or withheld some @X accounts, but we do not agree with this, people should have freedom of speech."" @elonmusk #FarmerLivesMatter #FarmersProtestInDelhi #farmersprotests2024 #FarmersProtests",33
4301,Greenpeace International,@Greenpeace,2024-02-22T14:43:58.000Z,"""As per the order of Indian government we are blocking , suspending or withheld some @X accounts, but we do not agree with this, people should have freedom of speech."" @elonmusk #FarmerLivesMatter #FarmersProtestInDelhi #farmersprotests2024 #FarmersProtests",33
4302,Christine Anderson,@AndersonAfDMdEP,2024-04-22T04:46:36.000Z,Will Legally Guaranteed Enhanced #MSP Aid Crop Diversification ? #agriculture #FarmersProtests #MSP #swaminathancommission #punjabagriculturaluniversity #nationalsamplesurvey @PAU_LDH,
4303,Niyati Obhan,@NiyatiObhan,2024-02-23T03:21:18.000Z,Farmers have great importance in our society.They are the ones who provide us food to eat. #FarmerProtest2024 #FarmersProtests,51
4304,Rajalakshmi Joshi,@rajalakshmij,2024-03-28T11:45:44.000Z,"Forming #policy responses to #farmersprotests and designing the new #CAP, @EU_Commission must consider new scientific evidence on the benefits of #agroecology for socioeconomic viability, #nature, #foodsecurity, and #nutrition. https://agroecology-europe.org/new-study-reveals-the-positive-socio-economic-performance-of-agroecology/…",11
4305,Dr. Sumi Gupta,@16_sumi,2024-04-22T04:46:36.000Z,Will Legally Guaranteed Enhanced #MSP Aid Crop Diversification ? #agriculture #FarmersProtests #MSP #swaminathancommission #punjabagriculturaluniversity #nationalsamplesurvey @PAU_LDH,
4306,bhaana sidhu ( ਭਾਨਾ ਸਿੱਧੂ ),@ka25859965,2024-02-21T14:21:51.000Z,See What Modi Govt is Doing #FarmerProtest2024 #HaryanaPolice #FarmersProtestInDelhi #PMQs #FarmersProtests #shamemodiGovt #haryanapolitics #farmersprotests2024 #ShambhuBorder #KisanAndolan2024,50
4307,𝑰 𝑨𝒎 𝑲𝒆𝒔𝒂𝒓𝒊𝒚𝒂,@Kesariya_Meenu,2024-02-22T02:52:18.000Z,𝙄𝙛... If #NarendraModi was the Prime Minister of #VikshitBharat then the Problems of #Farmers would have been Solved. #farmersprotests2024 #FarmersProtestInDelhi #FarmersProtests,85
4308,Dr. Melanie Bergmann MBergmannmstdn.social,@MelanieBergma18,2024-03-28T11:45:44.000Z,"Forming #policy responses to #farmersprotests and designing the new #CAP, @EU_Commission must consider new scientific evidence on the benefits of #agroecology for socioeconomic viability, #nature, #foodsecurity, and #nutrition. https://agroecology-europe.org/new-study-reveals-the-positive-socio-economic-performance-of-agroecology/…",11
4309,Dr. Vandana Shiva,@drvandanashiva,2024-02-23T07:16:54.000Z,EU farmers get massive subsidy to grow food; still stressed. #FarmersProtests. We cannot even think of matching this. Then how will Indian agriculture survive in a climate risked world without discounting nature? Time to rethink the way we grow food,33
4310,Fighter_4_Humanity,@Fighter_4_Human,2024-02-23T07:16:54.000Z,EU farmers get massive subsidy to grow food; still stressed. #FarmersProtests. We cannot even think of matching this. Then how will Indian agriculture survive in a climate risked world without discounting nature? Time to rethink the way we grow food,33
