no,username,handle,created_date,tweet_text,likes
3225,That Marine Guy,@thatmarineguy21,2024-02-26T03:30:11.000Z,"When it comes to our land, no matter where in the world we are, we will keep raising our voice for the rights of our farmers. Every voice is necessary. Every hand is necessary. That's why we won, that's why we will win. #FarmersProtest2024",200
3226,Mohit Gahlot (ï,@_MohitGahlot_,2024-02-28T18:03:55.000Z,Big Breaking: Farmers pressure worked and an FIR under section 302 and 114 has been registered by Punjab police into the killing of 21-year young farmer Shaheed ShubhKaran Singh. FYI: Shubhkaran was SHOT DEAD by @police_haryana on Feb 21st at khanauri. #FarmersProtest2024,144
3227,SerumInstituteIndia,@SerumInstIndia,2024-02-22T03:11:57.000Z,Raise your voice for our farmers!!!!! #FarmersProtest2024 #FarmerProtest,59
3228,Celebrating You,@celebratingy0u,2024-03-01T02:20:58.000Z,"AAP Haryana Leaders accounts are being watched & restricted for supporting Farmers...!! Coward Khattar & Modi are fearing defeat at the hands of farmers. They can't stopped from voting against them, or have they 'fixed' that problem as well...!? #FarmersProtest2024",36
3229,unknown_3229,@DoabanJatti,2024-02-28T12:37:50.000Z,"HPV ke khilaf, hum sab ek saath hokar suraksha ki taraf ek kadam badhaye.",17K
3230,Dhillon,@Davinder_777,2024-02-23T23:34:20.000Z,Kindly share #FarmersProtest2024,8
3231,unknown_3231,@Bckbncher,2024-03-01T04:14:40.000Z,Gentle reminder!! Farmers are still protesting for MSP. Manipur is still burning. Sanghis are still vandalising While PM dived in the ocean searching lost democracy. He can be spotted dancing in Ambani wedding because they need more drama.,49
3232,preet,@preetk786,2024-02-26T03:30:11.000Z,"When it comes to our land, no matter where in the world we are, we will keep raising our voice for the rights of our farmers. Every voice is necessary. Every hand is necessary. That's why we won, that's why we will win. #FarmersProtest2024",200
3233,Remix News & Views,@RMXnews,2024-02-25T03:40:18.000Z,"Farmer leaders claimed Govt have planted their people inside the #FarmersProtest to target farmer leaders and to provoke farmers to take wrong steps/get violent, so protest could be removed. @BJP4India along with @AAPPunjab planning to kill farmers dissent. #FarmersProtest2024",144
3234,Offers & Deals By India Desire,@IndiaDesire,2024-02-28T12:37:50.000Z,"HPV ke khilaf, hum sab ek saath hokar suraksha ki taraf ek kadam badhaye.",17K
