no,username,handle,tweet_text
66,Greta Dosanjh,@DosanjhGreta,Unlock the door to programming for FREE today! Begin your programming journey effortlessly with our bite-sized programming tutorial and consider diving deeper with our premium course. Build a foundation for countless career paths and industry opportunities!
67,J.B. Sharma,@JBSharm17603186,"Rest in peace to Akira Toriyama, the creator of the Dragon Ball series #InternationalWomensDay #InternationalWomensDay2024 #FarmersProtest2024 #WomenEmpowerment #Mahashivratri2024 #"
68,Hitesh Kumar Mutreja,@Hitesh_42200,This is the New India lead by PM of this country He is spreading hate to divide people which can be see here an officer assaulting Muslims while doing the prayers! GOI is spitting venom in people to distract them from New World Order dictatorship #FarmersProtest2024
69,Nippon.com,@nippon_en,Bahut Khuub Bahut Khuub #FarmersProtest #FarmersProtest2024
70,QuillBot,@TheQuillBot,"Do you want to communicate more clearly at work? Try QuillBot. It's an online writing platform that can instantly make your written communication concise and professional. Plus, you can optimize your tone to ensure you're connecting with your audience. Try QuillBot today."
71,unknown_1641,@Bckbncher,  #FarmersProtest2024 #JusticeForSidhuMoosewala @jdhillonA @turja_tu @Akaur_07 @khushdil_jatt @amanveer_sandhu @sandhumannu0476 @Harpree62510923 @adityachopra34 @Randeep44009128 @MandeepKaurKhi1 @Akanksh76061458 @Gurwind45589679 @Ak47gill
72,RanglaPunjab,@RanglaPunj57485,"""Government and the court should know that women and children always have had equal participation along with men in the peaceful movements for farmers, very much as on farming fields"", Women farmer leaders at a presser today. #InternationalWomensDay #FarmersProtest2024"
73,unknown_1653,@Bckbncher,I support farmers #FarmersProtest2024 #JusticeForSidhuMoosewala @jdhillonA @turja_tu @Akaur_07 @khushdil_jatt @amanveer_sandhu @sandhumannu0476 @Harpree62510923 @adityachopra34 @Randeep44009128 @MandeepKaurKhi1 @Akanksh76061458 @Gurwind45589679 @Ak47gill
74,Major Singh #FarmersProtests02,@MajorSi55323658,No Farmers No Food #FarmersProtest2024 #MSP_ï
75,Sumit Saharan,@saharanss1,Bahut Khuub #FarmersProtest #FarmersProtest2024
76,Unison Deals Point,@zuzuri26,"Red Tape Sneaker Casual Shoes for Men | Soft Cushion Insole, Slip-Resistance, Dynamic Feet Support & Arch Support M.R.P.: 5,399 Offer Price: 1,079 C"
77,Vignesh Raja @ SATHYA 2.0,Vignesh Raja @ SATHYA 2.0,Preparing the Next generation for the future protests. Dada-Pota #FarmersProtest2024
